user_id,txn_datetime,txn_category,spend_amount,txn_date
U00628,2026-02-23 16:51:00,Cafe,46,2026-02-23
U00264,2026-01-21 13:42:00,Cafe,55,2026-01-21
U00963,2026-01-24 19:46:00,Cafe,114,2026-01-24
U00766,2025-11-12 14:06:00,Cafe,40,2025-11-12
U00866,2025-11-25 10:37:00,Merch,18,2025-11-25
U00923,2025-11-18 13:36:00,Cafe,27,2025-11-18
U00791,2025-10-04 18:14:00,Merch,27,2025-10-04
U00283,2026-01-13 19:15:00,Cafe,47,2026-01-13
U00163,2026-02-04 18:07:00,Cafe,75,2026-02-04
U00643,2025-10-07 15:43:00,Cafe,57,2025-10-07
U00423,2025-10-09 19:28:00,Cafe,28,2025-10-09
U00287,2025-12-21 11:25:00,Merch,27,2025-12-21
U00473,2025-12-24 12:23:00,Cafe,58,2025-12-24
U00608,2025-12-18 16:11:00,Cafe,60,2025-12-18
U00405,2026-01-31 15:46:00,Cafe,25,2026-01-31
U00686,2025-12-10 18:26:00,Cafe,59,2025-12-10
U01011,2026-01-18 13:55:00,Cafe,40,2026-01-18
U00699,2026-01-26 11:51:00,Cafe,41,2026-01-26
U00119,2025-12-19 11:12:00,Cafe,35,2025-12-19
U00552,2025-11-02 16:22:00,Cafe,52,2025-11-02
U00016,2026-02-07 12:05:00,Cafe,48,2026-02-07
U00474,2025-12-16 13:49:00,Cafe,63,2025-12-16
U01158,2025-10-13 15:32:00,Merch,52,2025-10-13
U00643,2025-10-09 18:23:00,Cafe,35,2025-10-09
U00709,2025-11-04 14:38:00,Merch,38,2025-11-04
U00864,2025-11-15 12:32:00,Cafe,25,2025-11-15
U01018,2025-12-25 10:02:00,Cafe,32,2025-12-25
U00195,2025-10-05 10:49:00,Cafe,45,2025-10-05
U00608,2026-01-27 11:50:00,Merch,28,2026-01-27
U00638,2025-11-17 10:06:00,Merch,43,2025-11-17
U00249,2025-11-07 20:53:00,Merch,35,2025-11-07
U01028,2026-02-03 10:57:00,Cafe,60,2026-02-03
U01012,2025-11-14 10:04:00,Cafe,27,2025-11-14
U00987,2025-12-31 15:29:00,Cafe,62,2025-12-31
U00360,2025-10-21 16:05:00,Cafe,25,2025-10-21
U00938,2025-11-02 20:24:00,Merch,53,2025-11-02
U00522,2026-02-12 14:29:00,Merch,37,2026-02-12
U01107,2025-12-19 17:51:00,Cafe,62,2025-12-19
U00860,2025-10-25 12:02:00,Merch,57,2025-10-25
U00206,2026-02-14 11:32:00,Merch,49,2026-02-14
U00571,2025-10-26 10:28:00,Merch,47,2025-10-26
U00192,2026-01-24 16:26:00,Cafe,46,2026-01-24
U00171,2025-12-20 19:58:00,Cafe,46,2025-12-20
U00826,2025-12-14 19:46:00,Cafe,45,2025-12-14
U01052,2025-11-10 13:12:00,Cafe,74,2025-11-10
U00447,2026-02-09 17:40:00,Cafe,25,2026-02-09
U00612,2025-12-22 10:32:00,Cafe,26,2025-12-22
U00741,2025-11-25 13:55:00,Merch,65,2025-11-25
U00323,2025-10-08 15:57:00,Cafe,79,2025-10-08
U00302,2025-12-16 11:27:00,Cafe,65,2025-12-16
U00628,2025-12-08 10:28:00,Cafe,60,2025-12-08
U00302,2026-02-25 15:43:00,Cafe,32,2026-02-25
U00472,2025-11-09 10:17:00,Cafe,40,2025-11-09
U00525,2025-12-18 10:33:00,Cafe,57,2025-12-18
U00640,2025-10-09 14:24:00,Merch,37,2025-10-09
U00175,2025-12-20 11:58:00,Cafe,79,2025-12-20
U00878,2025-10-29 14:09:00,Merch,71,2025-10-29
U00054,2025-11-25 15:19:00,Cafe,23,2025-11-25
U01156,2025-11-28 12:10:00,Cafe,39,2025-11-28
U01016,2025-11-25 20:22:00,Cafe,30,2025-11-25
U01009,2025-10-17 15:38:00,Merch,35,2025-10-17
U00346,2026-02-16 17:11:00,Merch,44,2026-02-16
U00451,2025-12-31 11:50:00,Cafe,31,2025-12-31
U00884,2026-02-19 19:16:00,Cafe,34,2026-02-19
U00485,2025-11-16 14:28:00,Cafe,40,2025-11-16
U01178,2025-10-11 12:28:00,Merch,5,2025-10-11
U00449,2025-11-30 16:17:00,Cafe,20,2025-11-30
U00778,2025-12-14 11:06:00,Cafe,35,2025-12-14
U01183,2026-01-05 14:01:00,Cafe,42,2026-01-05
U00062,2025-10-23 12:10:00,Cafe,51,2025-10-23
U00840,2025-10-09 15:08:00,Cafe,28,2025-10-09
U00050,2026-02-22 13:15:00,Cafe,86,2026-02-22
U00196,2026-02-01 18:23:00,Merch,70,2026-02-01
U01101,2026-01-10 11:54:00,Cafe,28,2026-01-10
U00509,2025-11-20 14:55:00,Merch,47,2025-11-20
U00377,2025-10-04 14:53:00,Cafe,34,2025-10-04
U00254,2026-01-18 13:45:00,Merch,55,2026-01-18
U00766,2025-12-14 17:02:00,Merch,43,2025-12-14
U00865,2026-01-25 16:22:00,Cafe,32,2026-01-25
U00901,2025-12-14 16:24:00,Merch,55,2025-12-14
U00281,2026-01-10 12:13:00,Cafe,53,2026-01-10
U00795,2026-02-01 19:25:00,Cafe,64,2026-02-01
U00726,2025-10-25 14:06:00,Merch,47,2025-10-25
U00250,2025-11-24 11:38:00,Cafe,21,2025-11-24
U00415,2026-02-22 19:40:00,Cafe,30,2026-02-22
U00590,2026-01-14 19:13:00,Cafe,54,2026-01-14
U00535,2026-02-07 17:21:00,Cafe,57,2026-02-07
U00165,2025-12-08 14:05:00,Cafe,57,2025-12-08
U01189,2025-11-15 16:19:00,Merch,57,2025-11-15
U00913,2025-11-06 20:44:00,Cafe,33,2025-11-06
U00951,2025-10-24 12:08:00,Cafe,26,2025-10-24
U00456,2025-12-20 18:21:00,Merch,74,2025-12-20
U00036,2026-01-12 13:10:00,Cafe,19,2026-01-12
U00177,2026-02-09 11:36:00,Cafe,51,2026-02-09
U00794,2025-12-18 14:38:00,Merch,67,2025-12-18
U00005,2025-11-10 12:45:00,Merch,48,2025-11-10
U00594,2025-12-18 10:11:00,Merch,40,2025-12-18
U00504,2025-12-01 12:46:00,Cafe,96,2025-12-01
U00511,2026-01-04 20:11:00,Cafe,38,2026-01-04
U00708,2025-12-11 14:53:00,Cafe,33,2025-12-11
U00546,2026-02-03 12:45:00,Merch,53,2026-02-03
U00975,2025-10-30 20:54:00,Cafe,53,2025-10-30
U00424,2025-12-05 18:58:00,Cafe,62,2025-12-05
U00970,2025-11-06 10:26:00,Merch,57,2025-11-06
U00494,2026-01-18 20:12:00,Cafe,38,2026-01-18
U01070,2026-02-18 16:06:00,Cafe,5,2026-02-18
U00364,2025-12-20 20:00:00,Cafe,44,2025-12-20
U00950,2026-01-19 14:00:00,Cafe,55,2026-01-19
U01170,2026-01-04 20:15:00,Cafe,41,2026-01-04
U00145,2025-11-13 18:12:00,Cafe,20,2025-11-13
U00987,2025-12-10 19:42:00,Merch,36,2025-12-10
U00568,2025-10-16 17:38:00,Cafe,31,2025-10-16
U01105,2025-12-21 20:39:00,Merch,54,2025-12-21
U01185,2025-10-26 18:39:00,Cafe,32,2025-10-26
U00701,2026-02-14 17:01:00,Merch,71,2026-02-14
U00423,2026-01-28 15:14:00,Cafe,41,2026-01-28
U00589,2026-02-01 12:04:00,Merch,62,2026-02-01
U00678,2025-10-15 15:10:00,Cafe,74,2025-10-15
U00307,2025-12-27 18:47:00,Cafe,72,2025-12-27
U00963,2025-10-18 11:38:00,Cafe,39,2025-10-18
U00316,2025-11-18 13:03:00,Cafe,34,2025-11-18
U01185,2025-12-24 13:08:00,Merch,56,2025-12-24
U00509,2025-11-19 10:26:00,Cafe,73,2025-11-19
U00098,2025-10-25 18:57:00,Merch,61,2025-10-25
U00958,2025-11-16 20:12:00,Cafe,18,2025-11-16
U00977,2026-01-05 17:03:00,Merch,25,2026-01-05
U00419,2026-02-14 19:56:00,Cafe,66,2026-02-14
U00047,2026-01-21 14:10:00,Cafe,37,2026-01-21
U00536,2025-10-05 17:52:00,Cafe,46,2025-10-05
U00111,2026-01-13 14:35:00,Cafe,43,2026-01-13
U00649,2025-11-13 14:53:00,Cafe,28,2025-11-13
U00654,2025-11-13 11:46:00,Cafe,68,2025-11-13
U00678,2025-10-28 20:05:00,Cafe,43,2025-10-28
U00645,2025-11-15 13:37:00,Merch,19,2025-11-15
U01017,2026-02-02 18:39:00,Cafe,59,2026-02-02
U00239,2025-12-20 20:25:00,Cafe,67,2025-12-20
U00643,2026-02-04 13:11:00,Cafe,73,2026-02-04
U01157,2025-12-24 11:32:00,Cafe,62,2025-12-24
U00069,2025-10-08 12:00:00,Cafe,37,2025-10-08
U00568,2025-11-23 20:55:00,Merch,73,2025-11-23
U00454,2026-02-22 17:44:00,Merch,48,2026-02-22
U00797,2025-12-22 15:13:00,Merch,54,2025-12-22
U00812,2025-10-07 11:04:00,Cafe,52,2025-10-07
U01051,2025-12-21 11:53:00,Cafe,49,2025-12-21
U00393,2026-02-17 16:58:00,Cafe,35,2026-02-17
U00732,2026-02-11 12:02:00,Cafe,33,2026-02-11
U01153,2025-11-03 12:35:00,Cafe,47,2025-11-03
U00883,2026-01-08 19:08:00,Merch,29,2026-01-08
U00110,2026-01-11 10:15:00,Merch,40,2026-01-11
U00735,2026-01-19 10:39:00,Merch,40,2026-01-19
U00811,2025-12-11 17:46:00,Cafe,47,2025-12-11
U00798,2025-11-24 10:40:00,Cafe,68,2025-11-24
U01007,2026-01-04 17:17:00,Cafe,29,2026-01-04
U00873,2025-11-06 13:38:00,Cafe,23,2025-11-06
U00084,2025-11-23 15:20:00,Cafe,65,2025-11-23
U01122,2025-10-26 18:27:00,Cafe,60,2025-10-26
U00125,2025-12-07 12:20:00,Merch,43,2025-12-07
U00379,2025-10-15 16:22:00,Cafe,28,2025-10-15
U01052,2025-12-27 13:14:00,Merch,72,2025-12-27
U00907,2026-02-16 10:33:00,Cafe,33,2026-02-16
U00966,2026-01-06 12:12:00,Cafe,25,2026-01-06
U00812,2026-02-13 19:18:00,Cafe,47,2026-02-13
U00519,2025-12-27 11:21:00,Cafe,53,2025-12-27
U00936,2026-02-02 19:22:00,Merch,66,2026-02-02
U00273,2026-02-15 20:33:00,Merch,46,2026-02-15
U00794,2025-10-20 20:24:00,Cafe,38,2025-10-20
U00824,2025-10-22 18:46:00,Cafe,41,2025-10-22
U00237,2026-01-23 16:26:00,Cafe,57,2026-01-23
U00318,2026-02-27 12:23:00,Cafe,48,2026-02-27
U00558,2025-11-16 11:04:00,Cafe,45,2025-11-16
U00886,2025-11-17 10:04:00,Cafe,57,2025-11-17
U00458,2025-12-16 16:55:00,Merch,39,2025-12-16
U00728,2025-11-02 10:06:00,Merch,48,2025-11-02
U00221,2025-11-25 15:15:00,Cafe,69,2025-11-25
U00869,2026-01-12 17:07:00,Cafe,28,2026-01-12
U01110,2025-10-31 19:09:00,Cafe,46,2025-10-31
U01073,2025-10-09 20:44:00,Merch,52,2025-10-09
U00490,2026-01-24 12:33:00,Cafe,30,2026-01-24
U00022,2025-12-14 14:57:00,Merch,62,2025-12-14
U00527,2025-12-13 15:33:00,Cafe,38,2025-12-13
U00937,2025-12-25 15:43:00,Cafe,28,2025-12-25
U00430,2025-11-29 20:25:00,Merch,26,2025-11-29
U00351,2025-12-24 16:32:00,Cafe,26,2025-12-24
U00582,2025-11-27 14:20:00,Cafe,23,2025-11-27
U00273,2025-10-08 18:35:00,Cafe,23,2025-10-08
U00400,2026-01-08 12:11:00,Cafe,33,2026-01-08
U00355,2025-10-17 12:19:00,Cafe,50,2025-10-17
U01053,2025-12-29 14:36:00,Merch,71,2025-12-29
U00112,2026-01-06 13:04:00,Cafe,35,2026-01-06
U01052,2025-12-20 19:08:00,Merch,29,2025-12-20
U00669,2025-10-18 11:41:00,Cafe,33,2025-10-18
U00628,2026-02-04 20:13:00,Cafe,51,2026-02-04
U00744,2025-11-03 17:49:00,Cafe,54,2025-11-03
U00409,2025-11-23 17:08:00,Cafe,52,2025-11-23
U00052,2025-12-12 10:44:00,Merch,33,2025-12-12
U00728,2026-01-03 12:34:00,Merch,49,2026-01-03
U00762,2026-01-14 10:42:00,Cafe,58,2026-01-14
U00782,2025-12-30 19:59:00,Cafe,19,2025-12-30
U00066,2026-01-03 18:16:00,Cafe,42,2026-01-03
U01158,2026-02-04 13:50:00,Merch,42,2026-02-04
U00622,2025-11-15 20:50:00,Cafe,71,2025-11-15
U00951,2025-11-03 17:53:00,Cafe,37,2025-11-03
U01115,2026-01-09 11:40:00,Cafe,29,2026-01-09
U00424,2026-02-19 11:08:00,Cafe,21,2026-02-19
U00034,2025-10-17 14:37:00,Cafe,58,2025-10-17
U00758,2025-12-10 10:46:00,Merch,21,2025-12-10
U00470,2025-11-23 17:39:00,Merch,41,2025-11-23
U00041,2026-02-06 11:20:00,Cafe,66,2026-02-06
U00791,2025-10-28 17:23:00,Merch,93,2025-10-28
U00710,2026-02-03 13:50:00,Cafe,45,2026-02-03
U00071,2025-12-15 19:18:00,Cafe,20,2025-12-15
U00282,2025-11-04 20:51:00,Merch,50,2025-11-04
U01054,2026-02-23 17:38:00,Cafe,55,2026-02-23
U00568,2025-12-18 14:24:00,Cafe,36,2025-12-18
U00090,2026-01-16 15:57:00,Merch,49,2026-01-16
U00225,2026-01-10 11:11:00,Cafe,43,2026-01-10
U00650,2025-11-20 16:55:00,Cafe,28,2025-11-20
U00129,2025-10-04 17:03:00,Cafe,19,2025-10-04
U00138,2025-12-18 15:33:00,Cafe,13,2025-12-18
U01031,2026-02-13 20:46:00,Cafe,20,2026-02-13
U00808,2025-10-25 17:35:00,Cafe,37,2025-10-25
U01158,2025-12-06 19:34:00,Cafe,36,2025-12-06
U00292,2026-02-12 10:44:00,Cafe,44,2026-02-12
U00441,2025-10-31 13:00:00,Cafe,12,2025-10-31
U00246,2025-11-29 13:10:00,Merch,37,2025-11-29
U00984,2025-11-06 15:53:00,Cafe,11,2025-11-06
U00026,2025-10-18 18:34:00,Cafe,78,2025-10-18
U00269,2026-02-18 17:18:00,Merch,52,2026-02-18
U01136,2026-01-01 15:51:00,Merch,37,2026-01-01
U00138,2025-11-13 11:09:00,Cafe,63,2025-11-13
U00726,2025-11-13 10:16:00,Merch,53,2025-11-13
U00806,2026-01-14 10:47:00,Cafe,54,2026-01-14
U00726,2025-11-08 18:48:00,Cafe,40,2025-11-08
U00953,2025-11-13 14:42:00,Cafe,45,2025-11-13
U01175,2026-02-16 16:57:00,Cafe,24,2026-02-16
U01100,2026-01-25 19:45:00,Cafe,60,2026-01-25
U00709,2026-01-29 19:16:00,Cafe,29,2026-01-29
U00361,2026-02-18 10:13:00,Cafe,41,2026-02-18
U00716,2025-10-06 10:02:00,Cafe,40,2025-10-06
U00413,2026-01-25 12:59:00,Cafe,31,2026-01-25
U00142,2026-02-12 18:48:00,Merch,77,2026-02-12
U00770,2025-10-17 18:46:00,Cafe,53,2025-10-17
U00028,2026-02-22 11:27:00,Merch,26,2026-02-22
U01032,2026-02-23 20:54:00,Cafe,49,2026-02-23
U00269,2025-10-27 18:21:00,Merch,68,2025-10-27
U00517,2025-12-24 11:11:00,Cafe,69,2025-12-24
U00519,2025-11-10 19:37:00,Cafe,56,2025-11-10
U00244,2026-02-17 15:39:00,Cafe,29,2026-02-17
U00140,2025-10-10 10:34:00,Cafe,36,2025-10-10
U00278,2026-01-26 14:04:00,Cafe,40,2026-01-26
U00142,2026-01-22 13:42:00,Cafe,64,2026-01-22
U01123,2026-01-14 17:21:00,Cafe,25,2026-01-14
U00911,2025-10-26 13:50:00,Cafe,31,2025-10-26
U00504,2025-10-07 17:46:00,Cafe,34,2025-10-07
U01134,2026-01-15 10:42:00,Merch,39,2026-01-15
U00841,2025-12-03 16:03:00,Cafe,46,2025-12-03
U01038,2025-12-27 10:00:00,Cafe,29,2025-12-27
U00624,2025-11-10 19:37:00,Merch,45,2025-11-10
U00725,2025-12-12 11:13:00,Cafe,37,2025-12-12
U00153,2026-01-24 12:39:00,Merch,55,2026-01-24
U00188,2026-01-02 17:28:00,Cafe,49,2026-01-02
U00220,2025-11-15 10:21:00,Cafe,57,2025-11-15
U00258,2026-01-23 13:58:00,Cafe,49,2026-01-23
U00193,2025-10-05 17:17:00,Cafe,68,2025-10-05
U00705,2026-02-05 16:11:00,Cafe,60,2026-02-05
U00364,2025-11-09 13:30:00,Cafe,34,2025-11-09
U00010,2025-12-12 19:29:00,Cafe,52,2025-12-12
U00333,2026-01-30 20:02:00,Cafe,34,2026-01-30
U00307,2026-01-10 16:53:00,Cafe,58,2026-01-10
U00135,2025-12-24 15:12:00,Merch,32,2025-12-24
U01113,2025-10-14 12:53:00,Merch,68,2025-10-14
U00490,2025-10-13 12:32:00,Cafe,42,2025-10-13
U00140,2026-02-01 12:42:00,Cafe,53,2026-02-01
U00768,2025-10-02 10:38:00,Merch,35,2025-10-02
U00415,2026-02-04 17:10:00,Cafe,23,2026-02-04
U00428,2025-12-17 15:36:00,Cafe,29,2025-12-17
U00875,2025-10-02 17:43:00,Merch,60,2025-10-02
U00483,2025-11-01 10:18:00,Cafe,32,2025-11-01
U00337,2025-11-12 12:58:00,Cafe,33,2025-11-12
U00025,2025-12-20 13:31:00,Cafe,26,2025-12-20
U01190,2026-02-22 18:29:00,Cafe,29,2026-02-22
U00775,2025-12-11 12:05:00,Cafe,20,2025-12-11
U00500,2025-11-14 11:08:00,Cafe,25,2025-11-14
U00258,2025-12-24 16:40:00,Cafe,51,2025-12-24
U00593,2026-02-15 15:50:00,Cafe,65,2026-02-15
U00487,2026-02-03 17:13:00,Cafe,43,2026-02-03
U00891,2026-01-07 13:47:00,Cafe,50,2026-01-07
U00499,2025-11-29 11:09:00,Cafe,73,2025-11-29
U00830,2025-10-12 14:30:00,Cafe,46,2025-10-12
U00812,2026-02-14 16:12:00,Cafe,45,2026-02-14
U00376,2025-12-04 17:05:00,Cafe,60,2025-12-04
U00775,2025-11-06 13:39:00,Merch,41,2025-11-06
U00856,2025-12-05 10:53:00,Merch,40,2025-12-05
U00281,2025-10-17 16:48:00,Cafe,69,2025-10-17
U00615,2026-02-01 17:23:00,Cafe,51,2026-02-01
U00670,2026-02-09 19:17:00,Cafe,35,2026-02-09
U00474,2025-12-28 19:59:00,Merch,25,2025-12-28
U00587,2025-11-12 10:00:00,Cafe,80,2025-11-12
U00129,2025-12-13 10:07:00,Cafe,53,2025-12-13
U00297,2025-12-05 13:09:00,Cafe,41,2025-12-05
U00211,2026-01-14 10:25:00,Merch,39,2026-01-14
U00290,2025-12-19 14:27:00,Merch,37,2025-12-19
U01020,2026-02-22 16:27:00,Merch,61,2026-02-22
U00929,2026-01-25 11:25:00,Cafe,53,2026-01-25
U00739,2025-10-18 17:40:00,Cafe,27,2025-10-18
U00141,2025-12-26 13:43:00,Cafe,72,2025-12-26
U00232,2025-10-11 15:19:00,Cafe,35,2025-10-11
U00902,2026-02-16 18:34:00,Cafe,49,2026-02-16
U00094,2026-01-01 20:53:00,Cafe,54,2026-01-01
U00312,2025-11-20 15:58:00,Merch,58,2025-11-20
U00548,2026-02-20 19:20:00,Cafe,30,2026-02-20
U00491,2025-10-11 18:10:00,Cafe,47,2025-10-11
U00258,2026-02-06 16:00:00,Cafe,59,2026-02-06
U00090,2025-11-14 11:40:00,Cafe,34,2025-11-14
U00562,2026-02-14 15:18:00,Merch,30,2026-02-14
U00239,2026-01-02 18:12:00,Cafe,26,2026-01-02
U00904,2026-02-16 12:35:00,Merch,42,2026-02-16
U00077,2026-01-28 13:54:00,Cafe,44,2026-01-28
U00275,2025-10-17 15:30:00,Cafe,28,2025-10-17
U00395,2026-02-21 10:24:00,Cafe,47,2026-02-21
U00486,2025-12-08 15:11:00,Cafe,92,2025-12-08
U00435,2025-11-15 10:31:00,Cafe,33,2025-11-15
U00889,2025-10-19 13:27:00,Merch,76,2025-10-19
U00373,2025-12-12 11:56:00,Cafe,50,2025-12-12
U00499,2026-01-03 12:05:00,Merch,58,2026-01-03
U00398,2025-12-25 20:51:00,Cafe,66,2025-12-25
U00608,2026-02-26 13:36:00,Cafe,26,2026-02-26
U00093,2025-12-03 17:43:00,Cafe,36,2025-12-03
U00249,2026-02-14 10:51:00,Merch,28,2026-02-14
U01133,2026-02-18 18:47:00,Cafe,29,2026-02-18
U00525,2026-02-01 18:04:00,Cafe,27,2026-02-01
U00694,2025-12-03 19:23:00,Cafe,80,2025-12-03
U00559,2026-01-04 17:26:00,Merch,17,2026-01-04
U01122,2025-10-08 14:21:00,Cafe,49,2025-10-08
U01178,2025-12-19 18:22:00,Merch,68,2025-12-19
U00472,2025-10-17 10:16:00,Cafe,56,2025-10-17
U00887,2025-11-05 13:58:00,Cafe,66,2025-11-05
U00900,2025-12-04 15:18:00,Cafe,40,2025-12-04
U00584,2025-12-23 18:22:00,Merch,21,2025-12-23
U00745,2026-01-27 10:55:00,Cafe,42,2026-01-27
U00481,2025-11-20 16:09:00,Cafe,77,2025-11-20
U00393,2025-12-18 17:50:00,Cafe,40,2025-12-18
U00193,2025-12-21 16:22:00,Cafe,69,2025-12-21
U00318,2025-11-11 14:27:00,Cafe,28,2025-11-11
U01156,2025-11-10 14:08:00,Cafe,68,2025-11-10
U00104,2025-10-13 10:52:00,Cafe,19,2025-10-13
U00149,2025-11-26 18:31:00,Merch,67,2025-11-26
U00821,2025-11-30 10:27:00,Cafe,47,2025-11-30
U01039,2025-10-21 15:49:00,Cafe,38,2025-10-21
U01010,2025-12-14 10:50:00,Cafe,60,2025-12-14
U00337,2025-11-25 10:30:00,Cafe,35,2025-11-25
U00070,2025-10-29 10:03:00,Cafe,15,2025-10-29
U00485,2026-01-18 13:18:00,Cafe,44,2026-01-18
U01170,2025-10-17 17:32:00,Cafe,48,2025-10-17
U00311,2025-11-30 20:33:00,Cafe,29,2025-11-30
U00766,2026-01-23 12:17:00,Cafe,34,2026-01-23
U01053,2026-02-22 10:24:00,Cafe,52,2026-02-22
U00993,2025-10-18 18:59:00,Cafe,29,2025-10-18
U01139,2025-10-26 17:15:00,Merch,24,2025-10-26
U00812,2026-02-28 19:31:00,Cafe,30,2026-02-28
U00772,2025-10-23 20:38:00,Cafe,64,2025-10-23
U00796,2025-10-11 11:37:00,Cafe,48,2025-10-11
U00525,2025-10-16 16:12:00,Cafe,47,2025-10-16
U00525,2025-12-09 19:45:00,Cafe,48,2025-12-09
U00844,2025-11-17 12:49:00,Merch,48,2025-11-17
U00947,2025-12-10 15:41:00,Cafe,38,2025-12-10
U00783,2026-02-18 19:12:00,Cafe,37,2026-02-18
U00498,2025-10-06 12:16:00,Cafe,38,2025-10-06
U00480,2026-02-22 12:30:00,Cafe,43,2026-02-22
U00647,2025-10-16 16:25:00,Cafe,25,2025-10-16
U00622,2026-02-09 12:13:00,Merch,29,2026-02-09
U00419,2026-01-10 18:58:00,Cafe,55,2026-01-10
U00362,2026-01-22 18:29:00,Cafe,34,2026-01-22
U00540,2025-12-05 13:10:00,Merch,21,2025-12-05
U00205,2025-11-27 18:20:00,Cafe,14,2025-11-27
U00145,2026-02-27 12:48:00,Cafe,50,2026-02-27
U01004,2026-02-14 12:48:00,Merch,49,2026-02-14
U00676,2026-02-25 19:28:00,Cafe,73,2026-02-25
U00314,2026-01-16 19:34:00,Cafe,29,2026-01-16
U00898,2026-01-31 17:43:00,Merch,70,2026-01-31
U00303,2026-02-20 11:48:00,Cafe,39,2026-02-20
U00979,2025-12-30 10:49:00,Cafe,31,2025-12-30
U00519,2025-11-12 16:23:00,Cafe,27,2025-11-12
U00635,2025-10-27 17:21:00,Cafe,64,2025-10-27
U00824,2025-10-07 17:09:00,Cafe,38,2025-10-07
U00072,2025-12-01 18:55:00,Cafe,26,2025-12-01
U00909,2026-02-22 10:57:00,Cafe,40,2026-02-22
U01096,2026-02-22 17:21:00,Cafe,51,2026-02-22
U00462,2026-02-28 17:25:00,Merch,26,2026-02-28
U00823,2026-01-04 17:17:00,Merch,80,2026-01-04
U00379,2025-11-14 10:45:00,Merch,57,2025-11-14
U00524,2025-12-14 14:16:00,Cafe,22,2025-12-14
U01036,2025-10-10 14:29:00,Cafe,34,2025-10-10
U00805,2025-12-12 11:56:00,Cafe,63,2025-12-12
U00343,2026-02-21 16:37:00,Cafe,27,2026-02-21
U00812,2025-12-08 13:40:00,Merch,49,2025-12-08
U00669,2025-10-03 19:34:00,Merch,81,2025-10-03
U00273,2025-12-26 16:55:00,Merch,34,2025-12-26
U01033,2025-11-20 17:28:00,Merch,37,2025-11-20
U00475,2025-11-15 10:36:00,Cafe,75,2025-11-15
U01141,2025-12-29 10:25:00,Cafe,26,2025-12-29
U00943,2026-02-22 18:45:00,Cafe,35,2026-02-22
U00927,2025-11-04 12:40:00,Cafe,16,2025-11-04
U00434,2026-01-13 18:44:00,Cafe,23,2026-01-13
U01089,2025-12-08 18:33:00,Merch,36,2025-12-08
U00337,2025-11-23 12:03:00,Cafe,33,2025-11-23
U01045,2026-02-08 14:03:00,Cafe,59,2026-02-08
U00396,2025-11-27 11:39:00,Cafe,30,2025-11-27
U00743,2026-02-06 16:15:00,Merch,7,2026-02-06
U00499,2025-12-18 15:34:00,Merch,32,2025-12-18
U00663,2025-10-05 17:21:00,Merch,70,2025-10-05
U00086,2025-12-19 12:10:00,Cafe,31,2025-12-19
U00123,2025-11-08 19:18:00,Cafe,46,2025-11-08
U00568,2025-11-24 12:12:00,Cafe,19,2025-11-24
U01010,2025-10-22 18:40:00,Merch,77,2025-10-22
